run_id,segment_km,segment_distance_km,cum_distance_km,elevation_gain_m,prev_km_elevation_gain,cum_elevation_gain_m,elevation_loss_m,cum_elevation_loss_m,uphill_gradient,downhill_gradient,cum_dist_elev_gain,cum_dist_prev_elev_gain,cum_dist_up_grad,avg_pace_min/km
1,1.0,0.9941212139745232,1.0,38.80000000000001,0.0,38.80000000000001,19.200000000000045,19.200000000000045,39.02944576031787,19.31354017005425,38.80000000000001,0.0,39.02944576031787,6.4713771750355225
1,2.0,0.9982248490247032,2.0,29.00000000000012,38.80000000000001,67.80000000000013,32.600000000000136,51.80000000000018,29.05157092446058,32.65797283232465,58.00000000000024,77.60000000000002,58.10314184892116,5.8437067951500925
1,3.0,0.9837735282460572,3.0,23.000000000000227,29.00000000000012,90.80000000000037,28.80000000000024,80.60000000000042,23.37936459929583,29.275030454770384,69.00000000000068,87.00000000000037,70.13809379788749,6.1328478151775405
1,4.0,0.9948967176007076,4.0,38.39999999999992,23.000000000000227,129.20000000000027,23.59999999999985,104.20000000000029,38.5969712440155,23.72105524371776,153.59999999999968,92.00000000000092,154.387884976062,5.59522065776962
1,5.0,0.9859054777432928,5.0,33.00000000000017,38.39999999999992,162.20000000000044,39.60000000000019,143.80000000000047,33.471768587325585,40.16612230479069,165.00000000000085,191.9999999999996,167.35884293662792,6.981737589174442
1,6.0,0.9837381261583324,6.0,29.200000000000102,33.00000000000017,191.4000000000005,40.800000000000125,184.6000000000006,29.68269626189152,41.47445231113608,175.2000000000006,198.00000000000105,178.0961775713491,6.099184163402345
1,7.0,0.9911345670498956,7.0,43.19999999999999,29.200000000000102,234.6000000000005,33.99999999999994,218.6000000000005,43.58641241681688,34.304120883605826,302.3999999999999,204.40000000000072,305.10488691771815,7.466191015843633
1,8.0,0.9981070045214216,8.0,84.80000000000024,43.19999999999999,319.4000000000008,25.000000000000284,243.6000000000008,84.9608304679323,25.047414642668933,678.4000000000019,345.5999999999999,679.6866437434584,8.299043384937546
1,9.0,0.9806978787447154,9.0,24.399999999999977,84.80000000000024,343.80000000000075,20.399999999999977,264.0000000000008,24.88024143707924,20.801513332640013,219.5999999999998,763.2000000000021,223.9221729337132,6.474980865797266
1,10.0,0.9920745620020756,10.0,11.399999999999864,24.399999999999977,355.2000000000006,86.39999999999992,350.4000000000007,11.491071776897362,87.09022820385466,113.99999999999864,243.99999999999977,114.91071776897364,6.833424432609888
1,11.0,0.9794762598666704,11.0,17.799999999999955,11.399999999999864,373.00000000000057,16.0,366.4000000000007,18.17297746698113,16.33526064447746,195.7999999999995,125.3999999999985,199.90275213679243,8.439884666313356
1,12.0,0.9866393014075996,12.0,22.19999999999999,17.799999999999955,395.20000000000056,14.799999999999956,381.2000000000007,22.5006240561552,15.00041603743676,266.39999999999986,213.59999999999943,270.0074886738623,4.442690785862477
1,13.0,0.7323822368850905,13.0,12.999999999999943,22.19999999999999,408.2000000000005,12.39999999999992,393.6000000000006,17.750293965744586,16.93104962886403,168.99999999999926,288.59999999999985,230.7538215546796,4.323789555758315
2,1.0,0.996156100499072,1.0,41.39999999999998,0.0,41.39999999999998,16.199999999999932,16.199999999999932,41.55975150808058,16.262511459683644,41.39999999999998,0.0,41.55975150808058,4.416978421148663
2,2.0,0.981754142426668,2.0,16.000000000000114,41.39999999999998,57.40000000000009,11.800000000000182,28.00000000000012,16.297359296546315,12.019302481203008,32.00000000000023,82.79999999999995,32.59471859309263,4.600608718087521
2,3.0,0.9843297019623684,3.0,23.799999999999955,16.000000000000114,81.20000000000005,22.799999999999955,50.80000000000007,24.178890419086272,23.162970653578444,71.39999999999986,48.00000000000034,72.53667125725882,4.91027886662117
2,4.0,0.97949993666,4.0,18.400000000000205,23.799999999999955,99.60000000000024,21.00000000000012,71.80000000000018,18.78509565068725,21.43951134045816,73.60000000000082,95.19999999999982,75.140382602749,4.900459734961838
2,5.0,0.9800185195995992,5.0,25.0,18.400000000000205,124.60000000000024,22.800000000000068,94.60000000000024,25.50972201036988,23.2648664734574,125.0,92.00000000000102,127.54861005184938,4.5917499618665785
2,6.0,0.9965698139711944,6.0,19.800000000000068,25.0,144.40000000000032,29.800000000000068,124.40000000000032,19.86815145554106,29.902571382581964,118.8000000000004,150.0,119.20890873324636,5.11755416279086
2,7.0,0.6852933032835313,7.0,17.799999999999955,19.800000000000068,162.20000000000027,18.0,142.40000000000032,25.97427979335649,26.26612563373136,124.59999999999968,138.60000000000048,181.8199585534955,4.547931012507189
3,1.0,0.9899112198802582,1.0,30.200000000000045,0.0,30.200000000000045,5.800000000000068,5.800000000000068,30.507786348409205,5.859111285456133,30.200000000000045,0.0,30.507786348409205,4.478516097503773
3,2.0,0.9981608620670492,2.0,25.000000000000227,30.200000000000045,55.20000000000027,25.400000000000205,31.20000000000028,25.04606316483776,25.44680017547514,50.000000000000455,60.40000000000009,50.09212632967552,4.7253572504326815
3,3.0,0.975974366713455,3.0,24.20000000000016,25.000000000000227,79.40000000000043,24.00000000000012,55.20000000000039,24.79573319276043,24.59080977794419,72.60000000000048,75.00000000000068,74.3871995782813,4.866931101884764
3,4.0,0.9718875338413072,4.0,25.200000000000045,24.20000000000016,104.60000000000048,21.200000000000045,76.40000000000043,25.92892605628871,21.813223507671463,100.80000000000018,96.80000000000064,103.71570422515484,5.093181903913844
3,5.0,0.9763222034845214,5.0,21.60000000000025,25.200000000000045,126.20000000000071,25.800000000000185,102.2000000000006,22.123843873374224,26.425702404307984,108.00000000000124,126.00000000000024,110.61921936687112,5.052976687128623
